token_idx,layer_0_active_k,layer_1_active_k,layer_2_active_k,layer_3_active_k,layer_4_active_k,layer_5_active_k,layer_6_active_k,layer_7_active_k,layer_8_active_k,layer_9_active_k,layer_10_active_k,layer_11_active_k,layer_12_active_k,layer_13_active_k,layer_14_active_k,layer_15_active_k,total_active_experts,avg_active_experts_per_layer,expert_weight_demand_mib_no_kv
295,8,8,8,8,8,8,8,8,8,8,8,8,7,6,7,6,122,7.625,411.750000
296,8,8,8,8,8,8,8,8,8,7,7,7,6,7,7,7,120,7.5,405.000000
297,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,6,118,7.375,398.250000
298,8,8,8,8,8,8,8,8,8,7,6,6,4,4,6,6,111,6.9375,374.625000
299,8,8,8,8,8,7,8,8,6,8,4,7,5,5,6,5,109,6.8125,367.875000
300,7,8,8,8,8,8,8,8,6,6,6,5,7,7,5,8,113,7.0625,381.375000
301,8,8,8,8,8,8,8,8,8,8,8,6,4,5,5,7,115,7.1875,388.125000
302,8,8,8,8,8,8,8,8,8,6,5,6,4,4,2,3,102,6.375,344.250000
303,7,8,8,8,8,7,7,6,7,6,6,8,6,6,8,8,114,7.125,384.750000
304,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8,7,123,7.6875,415.125000
305,6,8,8,8,8,8,8,8,8,8,8,7,5,5,7,8,118,7.375,398.250000
306,8,8,8,8,8,8,7,8,6,6,5,7,5,4,6,6,108,6.75,364.500000
307,7,8,8,8,8,8,8,8,7,6,6,5,6,8,5,7,113,7.0625,381.375000
308,8,8,8,8,8,8,8,8,8,8,7,6,5,5,4,6,113,7.0625,381.375000
309,8,8,8,8,8,8,8,8,8,8,8,8,6,7,4,6,119,7.4375,401.625000
310,8,8,8,8,8,8,8,8,8,7,7,5,4,5,5,7,112,7.0,378.000000
311,6,8,8,8,8,8,8,8,8,7,6,7,5,8,5,7,115,7.1875,388.125000
312,8,8,8,8,6,8,8,8,7,8,7,7,4,4,4,7,110,6.875,371.250000
313,8,8,8,8,8,8,8,6,6,5,5,5,3,3,5,5,99,6.1875,334.125000
314,8,8,8,8,8,8,8,8,8,7,8,8,6,6,5,6,118,7.375,398.250000
315,8,8,8,8,8,8,8,8,8,8,8,7,5,6,5,5,116,7.25,391.500000
316,8,8,8,8,8,8,8,8,8,7,8,5,4,4,5,5,110,6.875,371.250000
317,8,8,8,7,7,8,5,5,7,6,6,8,5,4,6,6,104,6.5,351.000000
318,8,8,8,8,8,8,8,8,6,7,6,7,3,3,4,6,106,6.625,357.750000
319,8,8,8,8,8,8,7,8,8,5,5,6,4,5,3,4,103,6.4375,347.625000
320,6,8,8,7,8,6,5,7,7,7,6,8,5,5,5,7,105,6.5625,354.375000
321,8,8,8,8,8,8,8,8,8,8,7,7,4,5,5,6,114,7.125,384.750000
322,6,8,8,8,8,8,8,8,8,6,8,8,8,8,7,8,123,7.6875,415.125000
323,8,8,8,8,8,8,8,8,8,8,8,7,4,4,5,5,113,7.0625,381.375000
324,8,8,8,8,8,8,5,7,7,7,5,6,5,5,7,7,109,6.8125,367.875000
325,8,8,8,8,8,8,8,8,8,8,8,8,4,3,4,5,112,7.0,378.000000
326,8,8,8,8,8,8,8,8,7,4,4,4,3,3,3,2,94,5.875,317.250000
327,6,8,8,6,7,7,6,7,8,6,6,8,8,6,8,8,113,7.0625,381.375000
328,8,8,8,8,8,8,8,8,8,8,6,8,6,6,8,8,122,7.625,411.750000
329,8,8,8,8,8,8,8,8,8,8,8,8,4,5,6,5,116,7.25,391.500000
330,6,8,8,8,8,8,7,8,7,7,5,6,4,4,7,4,105,6.5625,354.375000
331,8,8,8,8,8,8,8,8,8,8,7,8,4,4,5,4,112,7.0,378.000000
332,7,7,8,7,8,8,6,7,6,7,6,6,5,5,6,5,104,6.5,351.000000
333,8,8,8,8,8,8,6,7,7,7,5,6,5,4,4,4,103,6.4375,347.625000
334,4,8,8,8,8,8,6,6,7,6,5,5,5,5,6,7,102,6.375,344.250000
335,8,8,8,8,8,8,8,8,8,7,8,7,4,4,6,5,113,7.0625,381.375000
336,7,8,8,8,8,8,7,8,6,8,6,7,4,6,6,4,109,6.8125,367.875000
337,8,8,8,8,8,8,8,8,8,8,8,8,4,4,6,4,114,7.125,384.750000
338,7,8,8,8,7,7,7,6,6,8,6,8,5,6,5,5,107,6.6875,361.125000
339,8,6,8,7,8,8,8,8,8,8,8,7,6,4,5,5,112,7.0,378.000000
340,4,8,8,8,8,8,7,7,6,6,5,8,5,5,5,7,105,6.5625,354.375000
341,8,8,8,8,8,8,8,8,8,8,8,7,4,6,5,5,115,7.1875,388.125000
342,8,8,8,8,8,8,8,8,8,8,8,8,5,5,7,6,119,7.4375,401.625000
343,7,8,8,8,8,8,8,8,8,8,8,7,6,5,6,6,117,7.3125,394.875000
344,8,8,8,8,8,8,8,8,8,8,6,8,7,5,5,6,117,7.3125,394.875000
345,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,126,7.875,425.250000
346,8,8,8,8,8,8,8,8,8,8,8,8,6,3,5,2,112,7.0,378.000000
347,8,8,8,8,8,8,8,8,8,8,7,7,4,3,4,3,108,6.75,364.500000
348,8,8,8,8,6,7,8,8,8,6,5,4,3,3,2,2,94,5.875,317.250000
349,8,7,4,4,5,6,7,8,7,7,4,4,3,5,4,3,86,5.375,290.250000
350,6,4,7,7,6,7,7,7,7,6,7,6,5,4,6,5,97,6.0625,327.375000
351,8,8,6,7,7,8,7,7,7,7,8,8,7,7,8,8,118,7.375,398.250000
352,8,8,8,8,8,8,8,8,8,8,8,8,6,6,7,6,121,7.5625,408.375000
353,4,8,8,8,8,8,8,8,8,8,8,5,7,6,6,6,114,7.125,384.750000
354,8,8,8,8,8,8,8,8,8,8,6,8,5,6,4,6,115,7.1875,388.125000
355,8,8,8,8,8,8,8,8,8,8,8,8,7,8,6,8,125,7.8125,421.875000
356,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,8,125,7.8125,421.875000
357,8,8,8,8,8,8,8,8,8,8,8,8,4,6,6,6,118,7.375,398.250000
358,8,8,8,8,8,8,8,6,8,6,7,7,6,5,5,5,111,6.9375,374.625000
359,8,8,8,8,8,8,8,7,5,5,5,6,4,3,4,5,100,6.25,337.500000
360,7,8,8,8,8,8,8,6,6,6,7,7,5,6,6,8,112,7.0,378.000000
361,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,116,7.25,391.500000
362,4,8,8,8,8,8,8,7,8,6,6,7,5,4,4,7,106,6.625,357.750000
363,8,8,8,8,8,8,8,6,7,6,6,7,5,4,5,6,108,6.75,364.500000
364,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,6,114,7.125,384.750000
365,5,8,8,8,8,8,8,8,8,7,6,6,6,6,5,7,112,7.0,378.000000
366,8,8,8,8,8,8,8,8,8,8,8,7,5,6,5,6,117,7.3125,394.875000
367,8,8,8,8,8,8,8,7,6,6,4,3,3,3,3,4,95,5.9375,320.625000
368,8,8,8,8,8,8,8,8,8,8,7,7,6,8,5,5,118,7.375,398.250000
369,7,8,8,8,8,8,8,8,8,8,8,6,5,3,3,2,106,6.625,357.750000
370,7,8,8,8,8,8,8,8,8,7,7,7,5,5,4,5,111,6.9375,374.625000
371,7,7,8,7,8,8,8,7,8,8,8,6,6,5,6,7,114,7.125,384.750000
372,8,8,8,8,8,8,8,8,8,8,8,8,5,4,5,6,116,7.25,391.500000
373,8,8,8,8,8,8,8,8,8,8,8,8,4,6,7,7,120,7.5,405.000000
374,8,8,8,8,8,8,8,8,8,8,8,7,5,6,7,8,121,7.5625,408.375000
375,7,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,125,7.8125,421.875000
376,8,8,8,8,8,8,8,8,8,8,8,8,5,6,6,6,119,7.4375,401.625000
377,8,8,8,8,8,8,8,8,7,6,5,7,4,4,6,6,109,6.8125,367.875000
378,8,7,8,8,8,8,8,7,6,6,6,6,8,7,8,8,117,7.3125,394.875000
379,8,8,8,8,8,8,8,8,8,8,8,6,5,6,5,5,115,7.1875,388.125000
380,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,116,7.25,391.500000
381,8,8,8,8,8,8,8,8,8,8,7,7,4,5,4,5,112,7.0,378.000000
382,8,8,8,8,8,8,8,7,7,7,6,6,6,5,5,8,113,7.0625,381.375000
383,8,8,8,8,8,8,8,7,8,8,8,7,5,4,4,7,114,7.125,384.750000
384,8,8,8,8,8,8,8,8,8,8,6,6,5,5,6,8,116,7.25,391.500000
385,8,8,8,8,8,8,8,8,8,8,8,6,6,5,4,5,114,7.125,384.750000
386,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,126,7.875,425.250000
387,8,8,8,8,8,8,8,8,8,7,8,7,5,5,5,8,117,7.3125,394.875000
388,6,8,8,8,8,7,7,8,7,7,6,7,4,4,6,6,107,6.6875,361.125000
389,7,7,8,8,8,6,6,6,5,5,7,6,7,6,6,8,106,6.625,357.750000
390,8,8,8,8,8,8,8,8,8,8,7,8,5,5,6,6,117,7.3125,394.875000
391,8,8,8,8,8,8,8,8,8,8,7,7,4,4,4,5,111,6.9375,374.625000
392,8,8,8,8,8,8,8,8,8,7,5,4,3,3,2,3,99,6.1875,334.125000
393,8,8,8,8,8,6,5,6,6,7,5,8,6,6,6,7,108,6.75,364.500000
394,8,8,8,8,8,8,8,8,8,8,8,8,5,3,6,6,116,7.25,391.500000
395,7,8,8,8,8,8,8,8,8,7,5,5,5,3,5,5,106,6.625,357.750000
396,5,8,8,8,7,5,6,6,7,7,6,8,8,7,8,8,112,7.0,378.000000
397,8,8,8,8,8,8,8,8,8,8,7,8,6,7,7,7,122,7.625,411.750000
398,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,6,118,7.375,398.250000
399,4,8,8,8,8,8,8,8,8,8,8,6,6,6,6,5,113,7.0625,381.375000
400,8,8,8,8,8,8,8,8,8,8,6,8,5,6,4,7,116,7.25,391.500000
401,8,8,8,8,8,8,8,8,8,8,7,8,6,8,5,6,120,7.5,405.000000
402,6,8,8,8,8,8,8,8,8,8,8,7,7,8,7,8,123,7.6875,415.125000
403,8,8,8,8,8,8,8,8,8,8,8,7,4,6,5,6,116,7.25,391.500000
404,8,8,8,7,1,8,8,8,7,6,6,6,3,3,3,5,95,5.9375,320.625000
405,7,8,8,8,8,7,8,8,8,5,6,7,6,6,6,8,114,7.125,384.750000
406,8,8,8,8,8,8,8,8,7,7,6,7,4,5,4,6,110,6.875,371.250000
407,8,8,8,8,8,6,6,6,7,6,6,8,5,5,5,6,106,6.625,357.750000
408,8,8,8,8,8,8,8,8,8,8,8,8,4,5,4,6,115,7.1875,388.125000
409,8,8,8,8,8,8,8,8,7,8,8,8,4,5,5,6,115,7.1875,388.125000
410,6,8,8,8,8,7,7,7,6,7,7,6,6,7,5,8,111,6.9375,374.625000
411,8,8,8,8,8,8,8,7,8,7,6,6,4,4,3,5,106,6.625,357.750000
412,8,8,8,8,8,8,8,7,6,5,4,5,4,3,4,5,99,6.1875,334.125000
413,8,8,8,8,8,6,6,7,6,6,7,8,8,8,8,8,118,7.375,398.250000
414,8,8,8,8,8,8,8,8,8,8,7,6,4,5,5,7,114,7.125,384.750000
415,8,8,8,8,8,8,8,7,7,6,5,6,3,3,5,6,104,6.5,351.000000
416,8,8,8,8,8,8,8,8,8,7,8,8,6,6,6,7,120,7.5,405.000000
417,8,8,8,8,8,8,8,8,8,8,8,7,5,7,6,7,120,7.5,405.000000
418,7,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,125,7.8125,421.875000
419,8,8,8,8,8,8,8,8,8,8,7,6,4,4,7,8,116,7.25,391.500000
420,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,127,7.9375,428.625000
421,8,8,8,8,8,8,8,8,8,8,8,8,5,6,7,8,122,7.625,411.750000
422,8,8,8,8,8,8,8,8,8,7,8,8,5,7,5,6,118,7.375,398.250000
423,7,8,8,8,8,8,8,8,8,7,8,8,8,6,8,8,124,7.75,418.500000
424,8,8,8,8,8,8,8,8,8,8,8,8,5,6,7,8,122,7.625,411.750000
425,8,8,8,8,8,8,8,8,8,7,5,8,5,4,7,7,115,7.1875,388.125000
426,8,7,8,8,8,8,8,8,8,8,8,8,7,5,7,8,122,7.625,411.750000
427,8,8,8,8,8,8,8,8,8,8,7,7,4,7,5,8,118,7.375,398.250000
428,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
429,8,8,8,8,8,8,8,8,8,8,7,8,4,7,6,8,120,7.5,405.000000
430,7,8,8,8,8,8,8,8,8,6,6,6,5,5,6,7,112,7.0,378.000000
431,8,8,8,8,8,8,8,8,8,6,7,7,6,7,6,8,119,7.4375,401.625000
432,8,8,8,8,8,8,8,8,8,8,8,6,4,5,4,6,113,7.0625,381.375000
433,8,8,8,8,8,8,8,8,7,7,6,7,8,6,6,8,119,7.4375,401.625000
434,8,8,8,8,8,8,8,8,8,8,8,8,6,7,7,8,124,7.75,418.500000
435,7,8,8,8,8,8,8,8,8,7,6,8,6,5,6,7,116,7.25,391.500000
436,8,8,8,8,8,8,8,8,8,5,5,4,4,3,2,2,97,6.0625,327.375000
437,8,8,8,8,8,8,8,8,8,7,6,8,6,5,6,8,118,7.375,398.250000
438,8,8,8,8,8,8,8,8,8,8,7,8,8,7,7,8,125,7.8125,421.875000
439,8,8,8,8,8,8,8,8,7,6,4,3,3,3,3,3,96,6.0,324.000000
440,8,8,8,8,8,8,8,8,8,8,7,6,6,8,6,7,120,7.5,405.000000
441,8,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,125,7.8125,421.875000
442,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,126,7.875,425.250000
443,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,127,7.9375,428.625000
444,7,8,8,8,8,8,8,8,8,7,8,8,6,8,8,7,123,7.6875,415.125000
445,8,7,8,8,8,8,8,8,8,8,8,8,7,5,7,7,121,7.5625,408.375000
446,8,8,8,8,8,8,8,8,8,8,8,8,4,5,5,7,117,7.3125,394.875000
447,8,8,8,8,8,8,8,8,8,7,5,7,5,5,4,6,111,6.9375,374.625000
448,8,8,8,8,8,8,8,8,8,8,6,6,5,5,5,6,113,7.0625,381.375000
449,8,8,8,8,8,8,8,8,8,7,8,5,8,8,5,8,121,7.5625,408.375000
450,8,8,8,8,8,8,8,8,8,8,8,6,4,5,5,6,114,7.125,384.750000
451,8,8,8,8,8,8,8,8,7,6,5,5,4,3,5,6,105,6.5625,354.375000
452,8,8,8,8,8,8,8,8,7,6,7,8,8,5,6,6,117,7.3125,394.875000
453,8,8,8,8,8,8,8,8,7,7,6,6,4,3,6,6,109,6.8125,367.875000
454,6,8,8,8,8,8,8,7,8,7,7,8,6,5,8,7,117,7.3125,394.875000
455,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,8,126,7.875,425.250000
456,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
457,6,8,8,8,8,8,8,8,8,8,8,6,7,6,6,5,116,7.25,391.500000
458,8,8,8,8,8,8,8,8,8,8,7,8,7,7,4,8,121,7.5625,408.375000
459,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,127,7.9375,428.625000
460,8,8,8,8,8,8,8,8,8,8,8,7,8,8,7,8,126,7.875,425.250000
461,8,8,8,8,8,8,8,8,8,8,8,8,6,7,7,6,122,7.625,411.750000
462,8,8,8,8,8,8,8,8,8,8,7,8,8,6,8,8,125,7.8125,421.875000
463,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,125,7.8125,421.875000
464,8,8,8,8,8,8,8,8,8,8,7,7,6,6,8,8,122,7.625,411.750000
465,6,8,8,8,8,8,8,8,8,8,8,8,6,5,6,8,119,7.4375,401.625000
466,8,8,8,8,8,8,8,8,8,8,8,8,6,7,7,8,124,7.75,418.500000
467,8,8,8,8,8,8,8,8,8,8,7,7,6,7,5,6,118,7.375,398.250000
468,8,8,8,8,8,8,8,8,8,8,7,7,8,8,7,6,123,7.6875,415.125000
469,8,8,8,8,8,8,8,8,8,6,8,8,8,8,7,8,125,7.8125,421.875000
470,8,8,8,8,8,8,8,8,8,8,6,8,8,6,6,6,120,7.5,405.000000
471,8,8,8,8,8,8,8,8,8,8,7,8,7,6,6,6,120,7.5,405.000000
472,8,8,8,8,8,7,8,8,7,7,4,7,5,5,5,4,107,6.6875,361.125000
473,7,8,8,8,7,8,8,8,8,5,6,7,4,4,6,4,106,6.625,357.750000
474,7,7,7,8,8,8,8,8,7,8,7,8,8,8,8,8,123,7.6875,415.125000
475,8,8,8,8,8,8,8,8,8,8,8,8,7,7,5,4,119,7.4375,401.625000
476,8,8,8,8,5,8,8,8,6,5,4,4,3,4,4,2,93,5.8125,313.875000
477,7,8,8,8,8,8,8,8,7,6,6,8,8,8,8,8,122,7.625,411.750000
478,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,121,7.5625,408.375000
479,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,121,7.5625,408.375000
480,7,8,8,8,8,8,8,8,8,6,5,7,5,4,5,5,108,6.75,364.500000
481,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,124,7.75,418.500000
482,8,8,8,8,8,8,8,8,8,8,7,8,6,7,7,8,123,7.6875,415.125000
483,8,8,8,8,8,8,8,8,8,8,8,8,7,6,7,8,124,7.75,418.500000
484,5,8,8,8,8,8,8,8,8,8,6,8,7,8,8,8,122,7.625,411.750000
485,8,8,8,8,8,8,8,8,8,8,7,7,4,4,7,8,117,7.3125,394.875000
486,8,8,8,8,8,8,8,8,7,8,5,7,6,5,8,6,116,7.25,391.500000
487,8,8,8,8,8,8,8,8,8,7,6,7,8,8,6,8,122,7.625,411.750000
488,8,8,8,8,8,8,8,8,8,8,8,7,5,6,7,8,121,7.5625,408.375000
489,8,8,8,8,8,8,8,8,8,7,8,8,5,6,6,6,118,7.375,398.250000
490,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,127,7.9375,428.625000
491,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
492,8,8,8,8,8,8,8,8,8,8,8,7,5,5,7,8,120,7.5,405.000000
493,6,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,124,7.75,418.500000
494,8,8,8,8,8,8,8,8,8,8,7,8,6,7,7,8,123,7.6875,415.125000
495,8,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,125,7.8125,421.875000
496,8,8,8,8,8,8,8,8,8,8,8,8,6,5,7,8,122,7.625,411.750000
497,7,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,126,7.875,425.250000
498,8,8,8,8,8,8,8,8,8,8,8,8,5,6,7,7,121,7.5625,408.375000
499,8,8,8,8,8,8,8,8,8,8,5,8,5,5,7,7,117,7.3125,394.875000
500,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8.0,432.000000
501,8,8,8,8,8,8,8,8,8,8,8,8,6,8,7,8,125,7.8125,421.875000
502,8,8,8,8,8,8,8,8,8,8,8,8,6,4,5,7,118,7.375,398.250000
503,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,6,118,7.375,398.250000
504,8,8,8,8,8,8,8,8,8,8,8,8,5,6,6,5,118,7.375,398.250000
505,6,8,8,8,8,8,8,8,8,7,7,8,6,6,6,8,118,7.375,398.250000
506,8,8,8,8,8,8,8,8,8,8,7,7,5,5,5,6,115,7.1875,388.125000
507,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,126,7.875,425.250000
508,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,8,120,7.5,405.000000
509,8,8,8,8,8,8,8,8,8,6,6,6,4,3,7,8,112,7.0,378.000000
510,8,8,8,8,8,8,8,8,8,7,8,8,8,8,6,8,125,7.8125,421.875000
511,8,8,8,8,8,8,8,8,8,8,7,6,4,4,4,6,111,6.9375,374.625000
512,8,8,8,8,8,8,8,8,8,7,8,8,5,4,7,6,117,7.3125,394.875000
513,6,8,8,8,8,8,8,8,8,7,7,7,7,7,7,8,120,7.5,405.000000
514,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,124,7.75,418.500000
515,8,8,8,8,8,8,8,8,8,8,8,8,6,6,5,7,120,7.5,405.000000
516,8,8,8,8,8,8,8,8,8,7,7,8,4,3,7,8,116,7.25,391.500000
517,8,8,8,8,8,8,8,8,8,7,6,7,6,5,6,8,117,7.3125,394.875000
518,8,8,8,8,8,8,8,8,8,8,8,8,6,5,7,8,122,7.625,411.750000
519,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,8,126,7.875,425.250000
520,8,8,8,8,8,8,8,8,8,8,8,8,6,5,5,6,118,7.375,398.250000
521,7,8,8,8,8,8,8,8,8,8,8,8,6,5,6,8,120,7.5,405.000000
522,8,8,8,8,8,8,8,8,8,8,6,5,6,5,5,8,115,7.1875,388.125000
523,8,8,8,8,8,8,8,7,6,5,3,3,2,3,3,4,92,5.75,310.500000
524,8,8,8,8,8,8,8,8,8,7,5,4,4,5,5,5,107,6.6875,361.125000
525,8,8,8,8,8,8,7,6,8,4,3,4,3,4,4,4,95,5.9375,320.625000
526,8,8,8,8,8,8,8,8,8,8,5,6,5,6,6,8,116,7.25,391.500000
527,8,8,8,8,8,7,8,8,8,6,6,7,5,8,7,8,118,7.375,398.250000
528,8,8,8,8,8,8,8,8,8,8,7,8,5,5,8,8,121,7.5625,408.375000
529,5,8,8,8,8,8,8,8,8,8,8,8,6,7,8,7,121,7.5625,408.375000
530,6,6,6,8,8,8,8,8,8,8,8,8,4,5,6,8,113,7.0625,381.375000
531,8,8,8,8,8,8,8,8,8,7,6,6,3,4,4,6,108,6.75,364.500000
532,8,8,8,8,8,8,6,8,8,7,8,8,6,8,6,8,121,7.5625,408.375000
533,8,8,8,7,8,8,8,8,8,7,6,7,4,6,6,8,115,7.1875,388.125000
534,8,8,8,7,8,8,8,8,8,8,6,5,5,5,5,7,112,7.0,378.000000
535,8,8,8,8,8,8,8,8,8,8,5,6,5,6,6,6,114,7.125,384.750000
536,6,7,8,8,8,8,8,8,8,6,6,5,7,5,7,8,113,7.0625,381.375000
537,8,8,8,8,8,8,8,8,7,7,8,8,6,5,6,8,119,7.4375,401.625000
538,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,8,121,7.5625,408.375000
539,8,8,8,8,8,8,8,8,8,7,6,7,5,7,6,7,117,7.3125,394.875000
540,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,125,7.8125,421.875000
541,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,126,7.875,425.250000
542,8,8,8,8,8,8,8,8,8,7,8,8,6,6,5,6,118,7.375,398.250000
543,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8.0,432.000000
544,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,126,7.875,425.250000
545,8,8,8,8,8,8,8,8,8,8,7,7,6,6,8,8,122,7.625,411.750000
546,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,127,7.9375,428.625000
547,8,8,8,8,8,8,8,8,8,8,8,8,5,7,8,8,124,7.75,418.500000
548,8,8,8,8,8,8,8,8,8,8,8,8,7,4,7,7,121,7.5625,408.375000
549,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,125,7.8125,421.875000
550,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,126,7.875,425.250000
551,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8.0,432.000000
552,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
553,7,8,8,8,8,8,8,8,8,8,7,7,5,5,8,8,119,7.4375,401.625000
554,8,8,8,8,8,8,8,8,8,8,8,7,7,6,4,6,118,7.375,398.250000
555,6,8,8,8,8,8,8,8,8,8,7,8,7,7,8,8,123,7.6875,415.125000
556,8,8,8,8,8,8,8,8,8,8,8,8,6,4,8,8,122,7.625,411.750000
557,7,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,126,7.875,425.250000
558,8,8,8,8,8,8,8,8,8,8,6,7,5,7,6,8,119,7.4375,401.625000
559,8,8,8,8,8,8,8,8,8,8,8,8,6,5,5,7,119,7.4375,401.625000
560,8,8,8,8,8,8,8,8,8,7,7,6,8,6,7,8,121,7.5625,408.375000
561,8,8,8,8,8,8,8,8,8,8,5,6,6,7,7,7,118,7.375,398.250000
562,7,8,8,8,8,8,8,8,8,7,7,5,3,4,2,3,102,6.375,344.250000
563,4,8,8,8,8,8,8,8,7,7,5,4,3,3,4,3,96,6.0,324.000000
564,8,8,6,8,8,8,8,8,8,6,5,5,6,7,6,8,113,7.0625,381.375000
565,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8.0,432.000000
566,8,8,8,8,8,8,8,8,8,8,6,6,6,6,8,8,120,7.5,405.000000
567,8,8,8,8,8,8,8,8,7,8,5,8,6,6,8,8,120,7.5,405.000000
568,8,8,8,8,8,8,8,8,8,7,7,6,8,8,7,8,123,7.6875,415.125000
569,8,8,8,8,8,8,8,8,8,7,6,8,8,7,7,7,122,7.625,411.750000
570,8,8,8,8,8,8,8,8,8,8,8,7,7,6,8,8,124,7.75,418.500000
571,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
572,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
573,8,8,8,8,8,8,8,8,8,8,6,7,5,5,8,8,119,7.4375,401.625000
574,8,8,8,8,8,8,8,8,8,7,6,6,6,7,8,8,120,7.5,405.000000
575,8,8,8,8,8,8,8,8,8,7,8,7,8,8,5,8,123,7.6875,415.125000
576,8,8,8,8,8,8,8,8,8,8,8,8,6,7,8,8,125,7.8125,421.875000
577,6,8,8,8,8,8,8,8,8,7,8,8,8,8,6,8,123,7.6875,415.125000
578,8,8,8,8,8,8,8,8,7,6,4,5,4,5,5,8,108,6.75,364.500000
579,8,8,8,8,8,8,7,7,6,5,3,3,2,2,3,4,90,5.625,303.750000
580,8,8,8,8,8,8,8,8,8,6,4,3,3,4,5,5,102,6.375,344.250000
581,8,8,8,8,8,8,8,7,7,6,3,5,4,5,4,4,101,6.3125,340.875000
582,8,8,8,8,8,8,8,8,8,8,6,7,5,6,6,8,118,7.375,398.250000
583,8,8,8,8,8,8,8,8,8,7,6,7,5,8,7,8,120,7.5,405.000000
584,8,8,8,8,8,8,8,8,8,6,7,6,4,5,8,8,116,7.25,391.500000
585,8,8,8,8,8,8,8,8,8,7,7,7,5,5,4,7,114,7.125,384.750000
586,8,8,8,8,8,8,8,8,8,7,7,7,4,5,5,6,113,7.0625,381.375000
587,8,8,8,8,8,8,8,8,8,7,7,8,6,5,5,6,116,7.25,391.500000
588,8,8,8,8,8,8,8,8,8,6,5,6,6,4,5,3,107,6.6875,361.125000
589,8,4,6,8,8,8,8,8,8,7,6,6,6,6,5,6,108,6.75,364.500000
590,8,8,8,8,8,8,8,8,8,8,8,8,4,5,5,6,116,7.25,391.500000
591,8,8,8,8,8,8,8,8,7,8,6,8,5,5,5,5,113,7.0625,381.375000
592,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8.0,432.000000
593,8,8,8,8,8,8,8,8,8,8,8,7,5,8,6,5,119,7.4375,401.625000
594,8,8,8,8,8,8,8,8,8,6,7,6,5,4,5,5,110,6.875,371.250000
595,8,6,8,8,8,8,8,8,7,7,7,8,8,8,8,8,123,7.6875,415.125000
596,8,8,8,8,8,8,8,8,8,8,8,8,7,8,6,5,122,7.625,411.750000
597,8,8,8,8,8,8,8,8,8,6,7,8,6,3,7,7,116,7.25,391.500000
