method,status,rc,raw_ms_per_token,exec_ms_per_token,eval_runs,apply_count,online_calls,online_failures,remote_wall_ms,provider_get_ms_total,anchor_failures,direct_read_mb_per_forward,evict_planned,load_planned,transfer_planned,xform_planned,thermal_gpu_max_c_before,thermal_gpu_max_c_after,log
static-min,ok,0,2110.64,2110.636046511628,86,0,,,0,0.0,0,2827.2534883720928,0,243,243,243,36.0,47.3,/home/myid/hz85760/workspace/project/elastic/llama.cpp/exp-results/gemma-4-E4B-it-Q8_0/window_180s_baselines_scaled_cov40_90/run_all_20260630/logs/static-min_trace_120_user_116_gemma_e4b_q8_cov40_90_10min_x1_s180.log
static-max,ok,0,365.13,365.1292886178862,492,0,,,0,0.0,0,438.2813008130081,0,31,31,31,46.9,53.1,/home/myid/hz85760/workspace/project/elastic/llama.cpp/exp-results/gemma-4-E4B-it-Q8_0/window_180s_baselines_scaled_cov40_90/run_all_20260630/logs/static-max_trace_120_user_116_gemma_e4b_q8_cov40_90_10min_x1_s180.log
offline,ok,0,1047.64,1134.9245094339624,159,17,,,0,145.08100000000002,0,1311.0767295597484,0,1266,1266,1266,52.7,51.2,/home/myid/hz85760/workspace/project/elastic/llama.cpp/exp-results/gemma-4-E4B-it-Q8_0/window_180s_baselines_scaled_cov40_90/run_all_20260630/logs/offline_trace_120_user_116_gemma_e4b_q8_cov40_90_10min_x1_s180.log
diff-tree-ideal,ok,0,605.24,620.458357400722,277,15,15,0,0,4594.297,0,304.0256317689531,0,1566,53,1566,50.8,54.3,/home/myid/hz85760/workspace/project/elastic/llama.cpp/exp-results/gemma-4-E4B-it-Q8_0/window_180s_baselines_scaled_cov40_90/run_all_20260630/logs/diff-tree-ideal_trace_120_user_116_gemma_e4b_q8_cov40_90_10min_x1_s180.log
online,ok,0,749.01,745.8129083333333,240,3,8,0,4127.058,931.293,9126,1000.2775,0,192,192,192,45.3,54.3,/home/myid/hz85760/workspace/project/elastic/llama.cpp/exp-results/gemma-4-E4B-it-Q8_0/window_180s_baselines_scaled_cov40_90/run_online_clean_20260630/logs/online_trace_120_user_116_gemma_e4b_q8_cov40_90_10min_x1_s180.log
mru,ok,0,594.78,593.6205880398671,301,20,20,0,0,668.243,0,549.8571428571429,0,0,0,0,50.8,50.8,/home/myid/hz85760/workspace/project/elastic/llama.cpp/exp-results/gemma-4-E4B-it-Q8_0/window_180s_baselines_scaled_cov40_90/run_all_20260630/logs/mru_trace_120_user_116_gemma_e4b_q8_cov40_90_10min_x1_s180.log
