id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00000,hebrew,2.404209,3.180980,4.117563,44,18,0,29.962773
req_00001,reasoning,4.740398,5.487677,7.088330,44,32,0,33.193472
req_00002,reasoning,7.125159,7.825314,9.471204,43,32,1,0.000000
req_00003,summary,7.404954,10.210803,11.845071,44,32,0,28.335506
req_00004,hebrew,7.491391,12.579960,14.214294,44,32,1,0.000000
