id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00000,hebrew,2.404209,3.164437,4.108533,44,18,0,32.542807
req_00001,reasoning,4.740398,5.510215,7.090369,44,32,0,31.821517
req_00002,reasoning,7.125159,7.831385,9.500688,43,32,1,0.000000
req_00003,summary,7.404954,10.262376,11.921263,44,32,0,28.758311
req_00004,hebrew,7.491391,12.665324,14.348010,44,32,0,30.134475
