backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"OpenCL","COMPUTE","cache_k_l13 (view)","SET_ROWS","f16",-1,482,-1,1024,512,1,1,1048576,0.727396,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l13 (view)","SET_ROWS","f16",-1,484,-1,1024,512,1,1,1048576,0.608177,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-13","FLASH_ATTN_EXT","f32",-1,491,-1,256,8,19,1,155648,7.547240,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_495","MUL_MAT","f32",-1,493,-1,2304,19,1,1,175104,3.843333,1,"clFinish_profiled"
"OpenCL","COMPUTE","sa_out-13","ADD","f32",-1,496,-1,2304,19,1,1,175104,0.894531,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_gate-13","MUL_MAT","f32",-1,499,-1,9216,19,1,1,700416,15.196927,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_up-13","MUL_MAT","f32",-1,500,-1,9216,19,1,1,700416,15.066145,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_geglu-13","GLU","f32",-1,501,-1,9216,19,1,1,700416,0.749896,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-13","MUL_MAT","f32",-1,502,-1,2304,19,1,1,175104,15.005782,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-13","ADD","f32",-1,505,-1,2304,19,1,1,175104,0.783178,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-14","MUL_MAT","f32",-1,508,-1,2048,19,1,1,155648,3.800729,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-14","ROPE","f32",-1,510,-1,256,8,19,1,155648,0.683750,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_513","SCALE","f32",-1,511,-1,256,8,19,1,155648,0.392917,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-14","MUL_MAT","f32",-1,512,-1,1024,19,1,1,77824,1.855886,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-14","ROPE","f32",-1,514,-1,256,4,19,1,77824,0.821979,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-14","MUL_MAT","f32",-1,515,-1,1024,19,1,1,77824,2.071146,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l14 (view)","SET_ROWS","f16",-1,518,-1,1024,512,1,1,1048576,0.390469,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l14 (view)","SET_ROWS","f16",-1,520,-1,1024,512,1,1,1048576,0.477917,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-14","FLASH_ATTN_EXT","f32",-1,527,-1,256,8,19,1,155648,7.456718,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_531","MUL_MAT","f32",-1,529,-1,2304,19,1,1,175104,3.615364,1,"clFinish_profiled"
"OpenCL","COMPUTE","sa_out-14","ADD","f32",-1,532,-1,2304,19,1,1,175104,0.649531,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_gate-14","MUL_MAT","f32",-1,535,-1,9216,19,1,1,700416,14.592136,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_up-14","MUL_MAT","f32",-1,536,-1,9216,19,1,1,700416,15.760677,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_geglu-14","GLU","f32",-1,537,-1,9216,19,1,1,700416,1.212240,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-14","MUL_MAT","f32",-1,538,-1,2304,19,1,1,175104,13.964270,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-14","ADD","f32",-1,541,-1,2304,19,1,1,175104,0.481042,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-15","MUL_MAT","f32",-1,544,-1,2048,19,1,1,155648,2.298646,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-15","ROPE","f32",-1,546,-1,256,8,19,1,155648,0.236146,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_549","SCALE","f32",-1,547,-1,256,8,19,1,155648,0.274791,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-15","MUL_MAT","f32",-1,548,-1,1024,19,1,1,77824,1.231302,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-15","ROPE","f32",-1,550,-1,256,4,19,1,77824,0.271093,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-15","MUL_MAT","f32",-1,551,-1,1024,19,1,1,77824,1.242188,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l15 (view)","SET_ROWS","f16",-1,554,-1,1024,512,1,1,1048576,0.273073,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l15 (view)","SET_ROWS","f16",-1,556,-1,1024,512,1,1,1048576,0.290469,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-15","FLASH_ATTN_EXT","f32",-1,563,-1,256,8,19,1,155648,5.960208,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_567","MUL_MAT","f32",-1,565,-1,2304,19,1,1,175104,2.587187,1,"clFinish_profiled"
"OpenCL","COMPUTE","sa_out-15","ADD","f32",-1,568,-1,2304,19,1,1,175104,0.283229,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_gate-15","MUL_MAT","f32",-1,571,-1,9216,19,1,1,700416,11.694740,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_up-15","MUL_MAT","f32",-1,572,-1,9216,19,1,1,700416,11.886927,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_geglu-15","GLU","f32",-1,573,-1,9216,19,1,1,700416,0.889063,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-15","MUL_MAT","f32",-1,574,-1,2304,19,1,1,175104,15.810312,1,"clFinish_profiled"
