id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00000,reasoning,0.000000,3.228771,15.903840,41,32,0,51.111979
req_00001,reasoning,0.000000,3.228771,15.903840,48,32,0,51.111979
req_00006,reasoning,0.000000,3.228771,15.903840,44,32,0,51.111979
req_00007,reasoning,0.000000,3.228771,15.903840,39,32,0,51.111979
req_00002,hebrew,0.000000,17.633053,21.163762,44,18,0,91.377240
req_00005,summary,0.000000,22.861471,25.036583,41,11,0,70.276146
req_00003,hebrew,0.000000,17.633053,26.337361,43,32,0,91.377240
req_00004,summary,0.000000,22.861471,28.314230,42,32,0,70.276146
