case,shape,q4_mib,gpu_write_two+cpu_compute_extra,gpu_xform+cpu_compute_extra,gpu_xform_kernels+cpu_compute_extra,gpu_xform+gpu_compute_extra,gpu_xform_kernels+gpu_compute_extra,gpu_write_two+cpu_compute_overlap,gpu_xform+cpu_compute_overlap,gpu_xform_kernels+cpu_compute_overlap,gpu_xform+gpu_compute_overlap,gpu_xform_kernels+gpu_compute_overlap
attn-4096x4096-q4_0,4096x4096,9.00,1.6629999999999967,1.7509999999999977,1.7749999999999986,3.538000000000011,1.38600000000001,46.851,46.939,46.963,83.001,80.849
ffn-4096x14336-q4_0,4096x14336,31.50,0.18500000000000227,0.5279999999999916,0.36299999999999955,13.181999999999988,4.706999999999994,187.031,187.374,187.209,253.381,244.906
